,THEME,TITLE,ARTIST,YEAR,URL
168,Heartbreak,I Hope You’re Happy Now,Elvis Costello and the Attractions,1986,http://open.spotify.com/track/0lJeIRRrwRmnkRWpjai96c
169,Heartbreak,I Want You,Elvis Costello and the Attractions,1986,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt
170,Heartbreak,He Hit Me (And it Felt Like a Kiss),The Crystals,1962,https://www.youtube.com/results?search_query=He Hit Me (And it Felt Like a Kiss) The Crystals
171,Heartbreak,Disintegration,The Cure,1989,http://open.spotify.com/track/65QOLZaDsPoJp6nDi7Ln4l
172,Heartbreak,Katie Cruel,Karen Dalton,1971,https://www.youtube.com/results?search_query=Katie Cruel Karen Dalton
173,Heartbreak,Layla,Derek and the Dominos,1970,http://open.spotify.com/track/1KDsONFxp3YtnJTaLeWFIi
174,Heartbreak,Warwick Avenue,Duffy ,2008,http://open.spotify.com/track/5Og47k4AHrotP2QP36p5iO
175,Heartbreak,"Don’t Think Twice, It’s All Right",Bob Dylan,1963,http://open.spotify.com/track/0K9nDgwZnLpg8FFG732fcU
176,Heartbreak,Idiot Wind,Bob Dylan,1975,http://open.spotify.com/track/6M4ch4i9qn5uWVrEeMGn9i
177,Heartbreak,"If You See Her, Say Hello",Bob Dylan,1975,http://open.spotify.com/track/16M0VBfpUnVkUfKknW1gar
178,Heartbreak,Just Like a Woman,Bob Dylan,1966,http://open.spotify.com/track/6M5KL0LxCvXGr3j2mN4wE1
179,Heartbreak,She’s Your Lover Now,Bob Dylan,1966,http://open.spotify.com/track/0TUtCqkeaNlR71xerbm6Xo
180,Heartbreak,Tangled up in Blue,Bob Dylan,1975,http://open.spotify.com/track/3fSmfeHzyp33FHpVKqavaw
181,Heartbreak,Brown Skin Woman,Snooks Eaglin,1962,http://open.spotify.com/track/2wiwvZFyUOsqGZYlh0tffe
182,Heartbreak,Goodbye,Steve Earle,1996,https://www.youtube.com/results?search_query=Goodbye Steve Earle
183,Heartbreak,The Killing Moon,Echo and the Bunnymen,1984,http://open.spotify.com/track/15049rGLXHwrWtE4euUb5C
184,Heartbreak,My Very Best,Elbow,2006,https://www.youtube.com/results?search_query=My Very Best Elbow
185,Heartbreak,Missing (Todd Terry remix),Everything But the Girl,1995,http://open.spotify.com/track/0Y11QzoiLpdhPHAFcSJH9i
186,Heartbreak,Why’d Ya Do It?,Marianne Faithfull,1979,http://open.spotify.com/track/1XZLci5bjgHM5LC1Xs1cQe
187,Heartbreak,Go Your Own Way,Fleetwood Mac,1977,http://open.spotify.com/track/5qg6DB7nxilzxxzalcpNU3
188,Heartbreak,Emily,Stephen Fretwell,2004,http://open.spotify.com/track/3xC8ffyrb46M2xoyiAZijA
189,Heartbreak,I Heard it Through the Grapevine,Marvin Gaye,1967,http://open.spotify.com/track/27m1soUndRthrAA1ediOXn
190,Heartbreak,I Will Survive,Gloria Gaynor,1978,http://open.spotify.com/track/1lBbC5ez7W0VgrRGGeybTY
191,Heartbreak,Daddy’s Gone,Glasvegas,2007,http://open.spotify.com/track/5Xkht48NOI9eirHjY7d87I
192,Heartbreak,It’s My Party,Lesley Gore,1963,http://open.spotify.com/track/4sR3U7qQAai4CI0q4zHlRW
193,Heartbreak,How Can You Mend a Broken Heart ,Al Green,1972,https://www.youtube.com/results?search_query=How Can You Mend a Broken Heart  Al Green
194,Heartbreak,She’s Gone,Halls and Oates,1973,https://www.youtube.com/results?search_query=She’s Gone Halls and Oates
195,Heartbreak,Weightless Again,The Handsome Family,1998,https://www.youtube.com/results?search_query=Weightless Again The Handsome Family
196,Heartbreak,Christine,The House of Love,1988,https://www.youtube.com/results?search_query=Christine The House of Love
197,Heartbreak,Don’t You Want Me?,The Human League,1981,http://open.spotify.com/track/5lmYpa6EaVAKAlwxMf7q5c
198,Heartbreak,I Want You Back,The Jackson 5,1970,http://open.spotify.com/track/2nPXRL8SX00vl9zeQHMSQp
199,Heartbreak,Is She Really Going Out With Him?,Joe Jackson,1978,http://open.spotify.com/track/3P97XnD4osOqR4lRPalNPV
200,Heartbreak,I’d Rather Go Blind,Etta James,1969,http://open.spotify.com/track/2xxX1FmYQk7P0I5stRyNsT
201,Heartbreak,Devil Got My Woman,Skip James,1931,http://open.spotify.com/track/0PIFpAuiiowI88mPS6KYsj
202,Heartbreak,Some Things Last a Long Time,Daniel Johnston,1990,https://www.youtube.com/results?search_query=Some Things Last a Long Time Daniel Johnston
203,Heartbreak,I Guess That’s Why They Call it the Blues,Elton John,1983,http://open.spotify.com/track/4mno8GjYUVPW8rNgJsWLx6
204,Heartbreak,Tainted Love,Gloria Jones,1964,https://www.youtube.com/results?search_query=Tainted Love Gloria Jones
205,Heartbreak,Delilah,Tom Jones,1968,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV
206,Heartbreak,Piece of My Heart,Janis Joplin and Big Brother and the Holding Company,1968,http://open.spotify.com/track/3zfJeCCx1uDHzPNReiGqS6
207,Heartbreak,Love Will Tear Us Apart,Joy Division,1980,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
208,Heartbreak,Caught Out There,Kelis,1999,http://open.spotify.com/track/6UJbhZER5yrbaAG66rrr4Z
209,Heartbreak,You Don’t Know My Name,Alicia Keys,2003,http://open.spotify.com/track/212BdBPNXcHSPyKtXMiiFF
210,Heartbreak,Mr Brightside,The Killers,2003,http://open.spotify.com/track/4ZefAE6wZ6BEATniPk4DWI
211,Heartbreak,The Thrill is Gone,BB King,1969,http://open.spotify.com/track/2l9eWSE3Tupp0ArEDo45eB
212,Heartbreak,It’s Too Late,Carole King,1971,http://open.spotify.com/track/5bl6wYKQnPmHYO7DbF1mg7
213,Heartbreak,Lola,The Kinks,1970,http://open.spotify.com/track/191w1gNvwUI55Pk6PcVvMx
214,Heartbreak,Let Me Down Easy,Bettye LaVette,1965,http://open.spotify.com/track/0MvsfFXD0XkeOcPUOO5XaH
215,Heartbreak,Jealous Guy,John Lennon,1971,https://www.youtube.com/results?search_query=Jealous Guy John Lennon
216,Heartbreak,Bleeding Love,Leona Lewis,2007,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe
217,Heartbreak,Crazy For You,Madonna,1985,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN
218,Heartbreak,Yes,McAlmont and Butler,1995,http://open.spotify.com/track/6joAGL5IuD66Qgcz049ObW
219,Heartbreak,It’s All in the Game,Van Morrison,1979,http://open.spotify.com/track/4LPR6jSlFTTHavQVaYLfXR
220,Heartbreak,"The More You Ignore Me, The Closer I Get",Morrissey,1994,http://open.spotify.com/track/2ljH5Nxub9QIJ1WE1hsVU3
221,Heartbreak,No Children,The Mountain Goats,2003,http://open.spotify.com/track/6KyyTheVmJZsNdqwOj0MR3
222,Heartbreak,Blue Monday,New Order,1983,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu
223,Heartbreak,Nothing Compares 2 U,Sinead O’Connor,1990,http://open.spotify.com/track/07iHAswcApphvyllRDQrEa
224,Heartbreak,To Cry About,Mary Margaret O’Hara,1988,https://www.youtube.com/results?search_query=To Cry About Mary Margaret O’Hara
225,Heartbreak,Crying,Roy Orbison,1961,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM
226,Heartbreak,Love Hurts,Gram Parsons with Emmylou Harris,1974,http://open.spotify.com/track/51sT9Y2lXJocjVUhA5NFK1
227,Heartbreak,"$1,000 Wedding",Gram Parsons,1974,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC
228,Heartbreak,Jolene,Dolly Parton,1973,http://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
229,Heartbreak,It Was Jealousy,Ann Peebles,1976,https://www.youtube.com/results?search_query=It Was Jealousy Ann Peebles
