Site,Reading Time,Pollutant Name,Value,Units,Provisional or Ratified
HP1,30/12/2018 20:00,NO,3.0,ug m-3,P
HP1,30/12/2018 21:00,NO,3.0,ug m-3,P
HP1,30/12/2018 22:00,NO,3.0,ug m-3,P
HP1,30/12/2018 23:00,NO,3.0,ug m-3,P
HP1,31/12/2018 00:00,NO,2.1,ug m-3,P
HP1,31/12/2018 01:00,NO,2.1,ug m-3,P
HP1,31/12/2018 02:00,NO,2.1,ug m-3,P
HP1,31/12/2018 03:00,NO,2.4,ug m-3,P
HP1,31/12/2018 04:00,NO,2.1,ug m-3,P
HP1,31/12/2018 05:00,NO,2.7,ug m-3,P
HP1,31/12/2018 06:00,NO,3.0,ug m-3,P
HP1,31/12/2018 07:00,NO,3.0,ug m-3,P
HP1,31/12/2018 08:00,NO,3.0,ug m-3,P
HP1,31/12/2018 09:00,NO,3.0,ug m-3,P
HP1,31/12/2018 10:00,NO,3.0,ug m-3,P
HP1,31/12/2018 11:00,NO,3.0,ug m-3,P
HP1,31/12/2018 12:00,NO,3.3,ug m-3,P
HP1,31/12/2018 13:00,NO,3.6,ug m-3,P
HP1,31/12/2018 14:00,NO,3.0,ug m-3,P
HP1,31/12/2018 15:00,NO,3.0,ug m-3,P
HP1,31/12/2018 16:00,NO,3.0,ug m-3,P
HP1,31/12/2018 17:00,NO,3.0,ug m-3,P
HP1,31/12/2018 18:00,NO,3.0,ug m-3,P
HP1,31/12/2018 19:00,NO,3.0,ug m-3,P
HP1,31/12/2018 20:00,NO,3.0,ug m-3,P
HP1,31/12/2018 21:00,NO,3.0,ug m-3,P
HP1,31/12/2018 22:00,NO,3.0,ug m-3,P
HP1,31/12/2018 23:00,NO,2.7,ug m-3,P
HP1,01/01/2019 00:00,NO,2.7,ug m-3,P
HP1,01/01/2019 01:00,NO,2.7,ug m-3,P
HP1,01/01/2019 02:00,NO,2.4,ug m-3,P
HP1,01/01/2019 03:00,NO,2.1,ug m-3,P
HP1,01/01/2019 04:00,NO,2.4,ug m-3,P
HP1,01/01/2019 05:00,NO,2.4,ug m-3,P
HP1,01/01/2019 06:00,NO,3.0,ug m-3,P
HP1,01/01/2019 07:00,NO,3.0,ug m-3,P
HP1,01/01/2019 08:00,NO,3.0,ug m-3,P
HP1,01/01/2019 09:00,NO,3.3,ug m-3,P
HP1,01/01/2019 10:00,NO,4.2,ug m-3,P
HP1,01/01/2019 11:00,NO,3.9,ug m-3,P
HP1,01/01/2019 12:00,NO,3.3,ug m-3,P
HP1,01/01/2019 13:00,NO,3.9,ug m-3,P
HP1,01/01/2019 14:00,NO,3.3,ug m-3,P
HP1,01/01/2019 15:00,NO,3.0,ug m-3,P
HP1,01/01/2019 16:00,NO,3.0,ug m-3,P
HP1,01/01/2019 17:00,NO,1.7,ug m-3,P
HP1,01/01/2019 18:00,NO,1.7,ug m-3,P
HP1,01/01/2019 19:00,NO,1.7,ug m-3,P
HP1,01/01/2019 20:00,NO,1.7,ug m-3,P
HP1,01/01/2019 21:00,NO,1.7,ug m-3,P
HP1,01/01/2019 22:00,NO,1.7,ug m-3,P
HP1,01/01/2019 23:00,NO,1.7,ug m-3,P
HP1,02/01/2019 00:00,NO,1.7,ug m-3,P
HP1,02/01/2019 01:00,NO,1.7,ug m-3,P
HP1,02/01/2019 02:00,NO,1.7,ug m-3,P
HP1,02/01/2019 03:00,NO,1.7,ug m-3,P
HP1,02/01/2019 04:00,NO,1.7,ug m-3,P
HP1,02/01/2019 05:00,NO,2.4,ug m-3,P
HP1,02/01/2019 06:00,NO,3.0,ug m-3,P
HP1,02/01/2019 07:00,NO,2.7,ug m-3,P
HP1,02/01/2019 08:00,NO,3.0,ug m-3,P
HP1,02/01/2019 09:00,NO,3.9,ug m-3,P
HP1,02/01/2019 10:00,NO,4.9,ug m-3,P
HP1,02/01/2019 11:00,NO,5.2,ug m-3,P
HP1,02/01/2019 12:00,NO,5.2,ug m-3,P
HP1,02/01/2019 13:00,NO,3.9,ug m-3,P
HP1,02/01/2019 14:00,NO,3.3,ug m-3,P
HP1,02/01/2019 15:00,NO,3.0,ug m-3,P
HP1,02/01/2019 16:00,NO,3.0,ug m-3,P
HP1,02/01/2019 17:00,NO,3.0,ug m-3,P
HP1,02/01/2019 18:00,NO,3.0,ug m-3,P
HP1,02/01/2019 19:00,NO,3.0,ug m-3,P
HP1,02/01/2019 20:00,NO,3.0,ug m-3,P
HP1,02/01/2019 21:00,NO,3.0,ug m-3,P
HP1,02/01/2019 22:00,NO,3.0,ug m-3,P
HP1,02/01/2019 23:00,NO,3.0,ug m-3,P
HP1,03/01/2019 00:00,NO,2.7,ug m-3,P
HP1,03/01/2019 01:00,NO,1.7,ug m-3,P
HP1,03/01/2019 02:00,NO,2.1,ug m-3,P
HP1,03/01/2019 03:00,NO,2.1,ug m-3,P
HP1,03/01/2019 04:00,NO,2.1,ug m-3,P
HP1,03/01/2019 05:00,NO,1.7,ug m-3,P
HP1,03/01/2019 06:00,NO,3.3,ug m-3,P
HP1,03/01/2019 07:00,NO,3.0,ug m-3,P
HP1,03/01/2019 08:00,NO,2.7,ug m-3,P
HP1,03/01/2019 09:00,NO,3.0,ug m-3,P
HP1,03/01/2019 10:00,NO,3.6,ug m-3,P
HP1,03/01/2019 11:00,NO,3.9,ug m-3,P
HP1,03/01/2019 12:00,NO,4.2,ug m-3,P
HP1,03/01/2019 13:00,NO,3.3,ug m-3,P
HP1,03/01/2019 14:00,NO,3.0,ug m-3,P
HP1,03/01/2019 15:00,NO,3.0,ug m-3,P
HP1,03/01/2019 16:00,NO,3.0,ug m-3,P
HP1,03/01/2019 17:00,NO,3.0,ug m-3,P
HP1,03/01/2019 18:00,NO,3.0,ug m-3,P
HP1,03/01/2019 19:00,NO,3.0,ug m-3,P
HP1,03/01/2019 20:00,NO,3.0,ug m-3,P
HP1,03/01/2019 21:00,NO,9.9,ug m-3,P
HP1,03/01/2019 22:00,NO,16.7,ug m-3,P
HP1,03/01/2019 23:00,NO,37.9,ug m-3,P
HP1,04/01/2019 00:00,NO,51.6,ug m-3,P
HP1,04/01/2019 01:00,NO,72.8,ug m-3,P
HP1,04/01/2019 02:00,NO,66.6,ug m-3,P
HP1,04/01/2019 03:00,NO,34.2,ug m-3,P
HP1,04/01/2019 04:00,NO,18.3,ug m-3,P
HP1,04/01/2019 05:00,NO,3.3,ug m-3,P
HP1,04/01/2019 06:00,NO,4.6,ug m-3,P
HP1,04/01/2019 07:00,NO,4.2,ug m-3,P
HP1,04/01/2019 08:00,NO,10.5,ug m-3,P
HP1,04/01/2019 09:00,NO,18.0,ug m-3,P
HP1,04/01/2019 10:00,NO,17.6,ug m-3,P
HP1,04/01/2019 11:00,NO,21.1,ug m-3,P
HP1,04/01/2019 12:00,NO,11.1,ug m-3,P
HP1,04/01/2019 13:00,NO,8.0,ug m-3,P
HP1,04/01/2019 14:00,NO,7.0,ug m-3,P
HP1,04/01/2019 15:00,NO,3.9,ug m-3,P
HP1,04/01/2019 16:00,NO,3.3,ug m-3,P
HP1,04/01/2019 17:00,NO,3.9,ug m-3,P
HP1,04/01/2019 18:00,NO,11.7,ug m-3,P
HP1,04/01/2019 19:00,NO,15.2,ug m-3,P
HP1,04/01/2019 20:00,NO,19.8,ug m-3,P
HP1,04/01/2019 21:00,NO,24.2,ug m-3,P
HP1,04/01/2019 22:00,NO,25.1,ug m-3,P
HP1,04/01/2019 23:00,NO,15.2,ug m-3,P
HP1,05/01/2019 00:00,NO,3.0,ug m-3,P
HP1,05/01/2019 01:00,NO,4.9,ug m-3,P
HP1,05/01/2019 02:00,NO,4.9,ug m-3,P
HP1,05/01/2019 03:00,NO,3.3,ug m-3,P
HP1,05/01/2019 04:00,NO,3.0,ug m-3,P
HP1,05/01/2019 05:00,NO,3.0,ug m-3,P
HP1,05/01/2019 06:00,NO,3.0,ug m-3,P
HP1,05/01/2019 07:00,NO,3.0,ug m-3,P
HP1,05/01/2019 08:00,NO,3.0,ug m-3,P
HP1,05/01/2019 09:00,NO,3.0,ug m-3,P
HP1,05/01/2019 10:00,NO,3.3,ug m-3,P
HP1,05/01/2019 11:00,NO,4.2,ug m-3,P
HP1,05/01/2019 12:00,NO,3.6,ug m-3,P
HP1,05/01/2019 13:00,NO,3.3,ug m-3,P
HP1,05/01/2019 14:00,NO,3.0,ug m-3,P
HP1,05/01/2019 15:00,NO,3.0,ug m-3,P
HP1,05/01/2019 16:00,NO,3.0,ug m-3,P
HP1,05/01/2019 17:00,NO,3.0,ug m-3,P
HP1,05/01/2019 18:00,NO,4.6,ug m-3,P
HP1,05/01/2019 19:00,NO,7.0,ug m-3,P
HP1,05/01/2019 20:00,NO,5.2,ug m-3,P
HP1,05/01/2019 21:00,NO,4.2,ug m-3,P
