ARTIST,TITLE,YEAR,THEME,SPOTIFY_URL
Dinah Washington,Mad About the Boy,1952,Love,http://open.spotify.com/track/3q393Yh4k0cu2wlTgyiW4v
Jimmy Webb,Wichita Linesman,1968,Love,http://open.spotify.com/track/4LKUWvk6kQDJSTkxP6TUYN
Paul Weller,You Do Something to Me,1995,Love,http://open.spotify.com/track/0qWQxgHDjlE1kcLP0SHkRK
Andy Williams,Music to Watch Girls By,1967,Love,http://open.spotify.com/track/5khJtAAIdaXwr3ZsQvvVv4
Frank Wilson,Do I Love You (Indeed I Do),1966,Love,http://open.spotify.com/track/6QtbZ4rI3fJRufeNyi19Nd
Bill Withers,Lean on Me,1972,Love,http://open.spotify.com/track/4IXTOcB1eMoE7dkBs6oRHr
Neil Young,Like a Hurricane,1977,Love,http://open.spotify.com/track/1756tFft3p2hTUBzg9bKdQ
Neil Young,Only Love Can Break Your Heart,1970,Love,http://open.spotify.com/track/3nQBejgpXbSdWpJsXKYWye
ABC,Tears Are Not Enough,1981,Heartbreak,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD
Abba,The Winner Takes It All,1980,Heartbreak,http://open.spotify.com/track/1g1RLXmuXu7HpMA6gmiYve
Ryan Adams,Call Me on Your Way Back Home,2000,Heartbreak,-
All Saints,Never Ever,1997,Heartbreak,http://open.spotify.com/track/7ziHnshbknkpFLDW5yGBjO
Bill Allen and the Backbeats,Please Give Me Something,1958,Heartbreak,http://open.spotify.com/track/66auDFwg9lKmIYGQzEwHn5
Badfinger,Without You,1970,Heartbreak,http://open.spotify.com/track/5GFV9C9D7EztSc0bMzF9ss
Joan Baez,Diamonds and Rust,1975,Heartbreak,http://open.spotify.com/track/5lZ4Dm9BBGcCBVbfzxnyCX
The Beatles,You’ve Got to Hide Your Love Away,1965,Heartbreak,-
Belle and Sebastian,The Boy Done Wrong Again,1996,Heartbreak,http://open.spotify.com/track/4lNs7YerSrW3dxxWHDRSIs
Blondie,Heart of Glass,1978,Heartbreak,http://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM
Blondie,One Way Or Another,1979,Heartbreak,http://open.spotify.com/track/5Q7cE6wGHMehLFo2ppkk5D
